HarvestYear,Crop,SampleID,Latitude,Longitude,ID2,GrainWeight,Area,Yield_g_m2,Yield_lb_ac,Yield_bu_ac,TestWeight,OilDM,Protein,Moisture,Starch,WGlutDM,Notes
,SW,cf13gpsw_0_5-a,46.77873,-117.08751,1,461,2,230.5,2056.472595,34.27454325,54.8,,11.9,7.6,72,30.1,
2013,,cf13gpgb_1_6-a,46.77869,-117.08706,2,205,2,102.5,914.483475,,,,,,,,
2013,GB,,46.77879,-117.08668,3,368,2,184,1641.60936,,,,,,,,
2013,SB,cf13gpsb_3_8-a,,-117.08626,4,826,2,413,3684.69927,,53.3,,12.2,9.2,63,,
2013,GB,cf13gpgb_4_9-a,46.77867,,5,444,2,222,1980.63738,,,,,,,,
2013,GB,CF13GPGB_5_10-A,46.77877,-117.08542,,307,2,153.5,1369.494765,,,,,,,,
2013,GB,cf13gpgb_6_11-a,46.77863,-117.08501,7,296,2,148,1320.42492,,,,,,,,
2013,,,46.77872,-117.08459,8,,,,,,,,,,,,
2013,GB,cf13gpgb_8_13-a,46.77867,-117.08417,9,490,2,245,2185.83855,,,,,,,,
2013,WW,CF13GPWW_14_19-A,46.77869,-117.08163,14,351,2,175.5,1565.774145,26.09623575,,,8.9,9.4,72.9,23,insufficient sample
