HarvestYear,Crop,SampleID,Latitude,Longitude,ID2,GrainWeight,Area,Yield_g_m2,Yield_lb_ac,Yield_bu_ac,TestWeight,OilDM,Protein,Moisture,Starch,WGlutDM,Notes
2013,SW,cf13gpsw_0_5-a,46.77873,-117.08751,1,461,2,230.5,2056.472595,34.27454325,54.8,,11.9,7.6,72,30.1,
2013,GB,cf13gpgb_1_6-a,46.77869,-117.08706,2,205,2,102.5,914.483475,,,,,,,,
2013,GB,cf13gpgb_2_7-A,46.77879,-117.08668,3,368,2,184,1641.60936,,,,,,,,
2013,SB,cf13gpsb_3_8-a,46.77876,-117.08626,4,826,2,413,3684.69927,,53.3,,12.2,9.2,63,,
2013,GB,cf13gpgb_4_9-a,46.77867,-117.08584,5,444,2,222,1980.63738,,,,,,,,
2013,GB,CF13GPGB_5_10-A,46.77877,-117.08542,6,307,2,153.5,1369.494765,,,,,,,,
2013,GB,cf13gpgb_6_11-a,46.77863,-117.08501,7,296,2,148,1320.42492,,,,,,,,
2013,,,46.77872,-117.08459,8,,,,,,,,,,,,
2013,GB,cf13gpgb_8_13-a,46.77867,-117.08417,9,490,2,245,2185.83855,,,,,,,,
2013,SW,cf13gpsw_9_14-a,46.77874,-117.08375,10,568,2,284,2533.78836,42.229806,57.9,,10.8,6.3,78.1,24,
2013,SW,cf13gpsw_10_15-a,46.77866,-117.08333,11,769,2,384.5,3430.428255,57.17380425,60.3,,10.6,9.7,70,28.8,
2013,SW,cf13gpsw_11_16-a,46.77873,-117.08294,12,739,2,369.5,3296.601405,54.94335675,57.1,,13.2,9.5,67.6,35.2,
2013,WW,CF13GPWW_13_17-A,46.77876,-117.0825,13,802,2,401,3577.63779,59.6272965,58,,10,9.1,73.5,25.5,
2013,WW,CF13GPWW_14_19-A,46.77869,-117.08163,14,351,2,175.5,1565.774145,26.09623575,,,8.9,9.4,72.9,23,insufficient sample
